,ANÁLISIS / ANALYSES,UNIDADES / UNIT,MIN,MAX,MÉTODO / METHOD,RESULTADOS DE CALIDAD / QUALITY RESULTS,CLIENTE,PRODUCTO,FECHA,NUM PAGINA,ARCHIVO,INCERTIDUMBRE/ UNCERTAINTY %
18357,DENSIDAD @ 15 °C,Kg/L,Reportar,-,ASTM D-1298,0.7386,TOTAL BUENA VISTA,GASOLINA REGULAR,2023-01-08 16:16:00,3,2023 08 006.pdf,
18358,GRAVEDAD API @ 60 º F,,Reportar,,ASTM D-1298,60.0,TOTAL BUENA VISTA,GASOLINA REGULAR,2023-01-08 16:16:00,3,2023 08 006.pdf,
18359,INDICE ANTIDETONANTE,,Reportar,,Calculo,84.6,TOTAL BUENA VISTA,GASOLINA REGULAR,2023-01-08 16:16:00,3,2023 08 006.pdf,
18360,NUMERO DE OCTANO METODO RESEARCH (RON),",",95,,ASTM D-2699,94.2,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18361,NUMERO DE OCTANO METODO MOTOR (MON),-,82,-,ASTM D-2700,85.1,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18362,CONTENIDO DE PLOMO,G/gal,-,0.02,ASTM D-3237,N/D,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18363,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.48,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18364,RVP + 0.1 E 70 °C,-,Reportar,-,Calculo,9.48,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18365,DESTILACION 10% VOL. RECUPERADO,o C,,75,ASTM D86,58,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18366,DESTILACION 50% VOL. RECUPERADO,℃,-,121,ASTM D86,113,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18367,DESTILACION 90% VOL. RECUPERADO,℃,-,190,ASTM D86,176,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18368,PUNTO FINAL,,-,225,ASTM D86,212,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18369,RESIDUO,% Vol.,,"2,0",ASTM D86,1.0,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18370,RECUPERADO @ 70 ℃,% Vol.,Reportar,-,ASTM D86,10.00,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18371,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,N/D,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18372,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18373,CONTENIDO DE AZUFRE,% en Peso,-,0.15,ASTM D-4294,N/D,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18374,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50° C),Adim.,,No. 1,ASTM D-130,1A,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18375,PRUEBA DOCTOR,Adim.,Negativo,4,IP-30,Negativo,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18376,MERCAPTANO COMO AZUFRE,% Peso,1,0.0015,ASTM D-3227,0.0005,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18377,COLOR,#,Incoloro,,,Amarillo,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18378,OLOR,-,Comerciable,,,Comericiable,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18379,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18380,GRAVEDAD API @ 60 º F,-,Reportar,,ASTM D-1298,60.0,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18381,INDICE ANTIDETONANTE,-,Reportar,,Calculo,89.7,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,1,2023 03 048.pdf,
18382,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,94.1,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,2,2023 03 048.pdf,
18383,NUMERO DE OCTANO METODO MOTOR (MON),-,82,-,ASTM D-2700,85.1,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA PREMIUM,2023-11-03 13:07:00,2,2023 03 048.pdf,
18384,NUMERO DE OCTANO METODO RESEARCH (RON),-,89,-,ASTM D-2699,93.0,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18385,NUMERO DE OCTANO METODO MOTOR (MON),,76,,ASTM D-2700,81.6,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18386,CONTENIDO DE PLOMO,G/gal,1,0.02,ASTM D-3237,N/D,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18387,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,.,10.0,ASTM D-323,8.69,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18388,RVP + 0.1 E 70°C,-,Reportar,-,Calculo,11.49,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18389,DESTILACION 10% VOL. RECUPERADO,,,75,ASTM D86,54,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18390,DESTILACION 50% VOL. RECUPERADO,℃,-,121,ASTM D86,95,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18391,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,158,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18392,PUNTO FINAL,℃,,225,ASTM D86,200,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18393,RESIDUO,% Vol.,,"2,0",ASTM D86,0.6,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18394,RECUPERADO @ 70 ℃,% Vol.,Reportar,-,ASTM D86,28.00,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18395,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,-,4,ASTM D-381,N/D,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18396,PERIODO DE INDUCCION,Minutos,240,-,ASTM D-525,>240,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18397,CONTENIDO DE AZUFRE,% Peso,-,0.15,ASTM D-4294,N/D,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18398,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,1,No 1,ASTM D-130,1A,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18399,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18400,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18401,COLOR,,Naranja,,,Rojo,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18402,OLOR,,Comerciable,,,Comerciable,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18403,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18404,GRAVEDAD API @ 60 º F,-,Reportar,,ASTM D-1298,60.0,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18405,INDICE ANTIDETONANTE,-,Reportar,,Calculo,87.3,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18406,ASPECTO,-,Claro y Brillante,-,,C&B,"TEXACO AEROPUERTO HERRERA
DÍA ANÁLISIS",GASOLINA REGULAR,,3,2023 03 048.pdf,
18407,NUMERO DE OCTANO METODO RESEARCH (RON),,95,1,ASTM D-2699,96.1,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18408,NUMERO DE OCTANO METODO MOTOR (MON),-,82,,ASTM D-2700,87.6,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18409,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18410,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,7.89,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18411,RVP + 0.1 E 70 ° C,-,Reportar,1,Calculo,9.85,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18412,DESTILACION 10% VOL. RECUPERADO,º C,-,75,ASTM D86,58,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18413,DESTILACION 50% VOL. RECUPERADO,·℃,-,121,ASTM D86,106,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18414,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,164,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18415,PUNTO FINAL,ºC,,225,ASTM D86,199,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18416,RESIDUO,% Vol.,,"2,0",ASTM D86,0.6,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18417,RECUPERADO @ 70 °C,% Vol.,Reportar,,ASTM D86,19.62,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18418,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,.,4,ASTM D-381,N/D,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18419,PERIODO DE INDUCCION,Minutos,240,.,ASTM D-525,>240,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18420,CONTENIDO DE AZUFRE,% en Peso,-,0.15,ASTM D-4294,N/D,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18421,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,ʻ,No. 1,ASTM D-130,1A,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18422,PRUEBA DOCTOR,Adim.,Negativo,,IP-30,Negativo,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18423,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0004,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18424,COLOR,,Incoloro,,,Amarillo,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18425,OLOR,,Comerciable,,,Comerciable,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18426,DENSIDAD @ 15 °C,Kg/L,Reportar,,ASTM D-1298,0.7349,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18427,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,61.0,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18428,INDICE ANTIDETONANTE,,Reportar,,Calculo,91.9,ECOPETROLEO ALTAMIRA,GASOLINA PREMIUM,2023-06-28 20:18:00,1,2023 06 119.pdf,
18429,NUMERO DE OCTANO METODO RESEARCH (RON),,89,,ASTM D-2699,92.0,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18430,NUMERO DE OCTANO METODO MOTOR (MON),.,76,,ASTM D-2700,82.3,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18431,CONTENIDO DE PLOMO,G/gal,,0.02,ASTM D-3237,N/D,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18432,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,-,10.0,ASTM D-323,8.92,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18433,RVP + 0.1 E 70 ° C,-,Reportar,-,Calculo,11.86,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18434,DESTILACION 10% VOL. RECUPERADO,0 ℃,.,75,ASTM D86,55,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18435,DESTILACION 50% VOL. RECUPERADO,℃,,121,ASTM D86,90,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18436,DESTILACION 90% VOL. RECUPERADO,,,190,ASTM D86,158,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18437,PUNTO FINAL,°C,.,225,ASTM D86,202,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18438,RESIDUO,% Vol.,,"2,0",ASTM D86,0.4,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18439,RECUPERADO @ 70 °C,% Vol.,Reportar,-,ASTM D86,29.43,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18440,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,0.7,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18441,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18442,CONTENIDO DE AZUFRE,% Peso,1,0.15,ASTM D-4294,N/D,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18443,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18444,PRUEBA DOCTOR,Adim.,Negativo,.,IP-30,Negativo,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18445,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0006,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18446,COLOR,,Naranja,,,Rosado,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18447,OLOR,,Comerciable,,,Comerciable,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18448,DENSIDAD @ 15 ℃,Kg/L,Reportar,-,ASTM D-1298,0.7386,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18449,GRAVEDAD API @ 60 ° F,,Reportar,-,ASTM D-1298,60.0,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18450,INDICE ANTIDETONANTE,,Reportar,,Calculo,87.2,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,2,2023 06 119.pdf,
18451,NUMERO DE OCTANO METODO RESEARCH (RON),,89,.,ASTM D-2699,91.9,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,3,2023 06 119.pdf,
18452,NUMERO DE OCTANO METODO MOTOR (MON),,76,-,ASTM D-2700,82.4,ECOPETROLEO ALTAMIRA,GASOLINA REGULAR,2023-06-28 20:18:00,3,2023 06 119.pdf,
18453,NUMERO DE OCTANO METODO RESEARCH (RON),,95,,ASTM D-2699,96.3,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18454,NUMERO DE OCTANO METODO MOTOR (MON),-,82,1,ASTM D-2700,87.9,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18455,CONTENIDO DE PLOMO,G/gal,.,0.02,ASTM D-3237,N/D,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18456,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,7.61,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18457,RVP + 0.1 E 70 ° C,,Reportar,-,Calculo,9.58,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18458,DESTILACION 10% VOL. RECUPERADO,,,75,ASTM D86,59,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18459,DESTILACION 50% VOL. RECUPERADO,℃,,121,ASTM D86,109,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18460,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,164,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18461,PUNTO FINAL,U,,225,ASTM D86,205,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18462,RESIDUO,% Vol.,,"2,0",ASTM D86,0.9,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18463,RECUPERADO @ 70 °C,% Vol.,Reportar,.,ASTM D86,19.69,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18464,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,N/D,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18465,PERIODO DE INDUCCION,Minutos,240,1,ASTM D-525,>240,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18466,CONTENIDO DE AZUFRE,% en Peso,-,0.15,ASTM D-4294,N/D,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18467,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No. 1,ASTM D-130,1A,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18468,PRUEBA DOCTOR,Adim.,Negativo,-,IP-30,Negativo,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18469,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0002,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18470,COLOR,-,Incoloro,,.,Amarillo,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18471,OLOR,-,Comerciable,,,Comerciable,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18472,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18473,GRAVEDAD API @ 60 ° F,,Reportar,,ASTM D-1298,60.0,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18474,INDICE ANTIDETONANTE,,Reportar,,Calculo,92.1,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,1,2023 06 125.pdf,
18475,NUMERO DE OCTANO METODO RESEARCH (RON),,95.0,,ASTM D-2699,96.3,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,2,2023 06 125.pdf,
18476,NUMERO DE OCTANO METODO MOTOR (MON),,82.0,,ASTM D-2700,87.9,NATIVA LA CALETA,GASOLINA PREMIUM,2023-06-29 18:45:00,2,2023 06 125.pdf,
18477,NUMERO DE OCTANO METODO RESEARCH (RON),1,89,,ASTM D-2699,92.5,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18478,NUMERO DE OCTANO METODO MOTOR (MON),1,76,1,ASTM D-2700,82.5,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18479,CONTENIDO DE PLOMO,G/gal,1,0.02,ASTM D-3237,N/D,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18480,PRESION A VAPOR REID (RVP) @ 100 º F,PSI,,10.0,ASTM D-323,8.69,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18481,RVP + 0.1 E 70 °C,.,Reportar,.,Calculo,11.75,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18482,DESTILACION 10% VOL. RECUPERADO,0 ℃,,75,ASTM D86,53,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18483,DESTILACION 50% VOL. RECUPERADO,℃,.,121,ASTM D86,92,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18484,DESTILACION 90% VOL. RECUPERADO,℃,,190,ASTM D86,154,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18485,PUNTO FINAL,°℃,,225,ASTM D86,187,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18486,RESIDUO,% Vol.,1,"2,0",ASTM D86,0.6,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18487,RECUPERADO @ 70 °C,% Vol.,Reportar,1,ASTM D86,30.57,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18488,CONTENIDO DE GOMAS EXISTENTES,mg/100 ml,,4,ASTM D-381,0.9,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18489,PERIODO DE INDUCCION,Minutos,240,,ASTM D-525,>240,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18490,CONTENIDO DE AZUFRE,% Peso,,0.15,ASTM D-4294,N/D,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18491,CORROSION A LA LAMINA DE COBRE (3 Horas @ 50 ° C),Adim.,,No 1,ASTM D-130,1A,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18492,PRUEBA DOCTOR,Adim.,Negativo,.,IP-30,Negativo,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18493,MERCAPTANO COMO AZUFRE,% Peso,,0.0015,ASTM D-3227,0.0007,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18494,COLOR,-,Naranja,,,Rosado,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18495,OLOR,-,Comerciable,,,Comerciable,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
18496,DENSIDAD @ 15 ℃,Kg/L,Reportar,,ASTM D-1298,0.7386,NATIVA LA CALETA,GASOLINA REGULAR,2023-06-29 18:45:00,3,2023 06 125.pdf,
